epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
1,121.2,1.49315,1.74893,2.7138,1.48532,0,0.33965,0.35106,0.32151,0.14399,0.15653,0.15435,0.12872,0.03558,1.64302,4.24539,2.59316,1.6202,0,0.000328829,0.000328829,0.0674459
2,156.837,1.57426,1.35848,2.0509,1.48969,0,0.33843,0.46837,0.37242,0.18051,0.23205,0.34685,0.25826,0.07047,1.62899,2.08272,1.89512,1.67239,0,0.000662122,0.000662122,0.0344459
3,200.718,1.63821,1.35997,2.0045,1.54046,0,0.30498,0.62578,0.36322,0.1689,0.25085,0.56255,0.33062,0.0932,1.70667,1.21558,4.62059,1.7223,0,0.000995252,0.000995252,0.0014457
4,259.477,1.79484,1.3191,2.417,1.67429,0,0.11975,0.31975,0.11259,0.0485,0.12809,0.34595,0.12221,0.03209,1.9227,1.38893,4.19234,1.99475,0,0.00099945,0.00099945,0.00099945
5,314.031,1.76001,1.2557,2.26957,1.61388,0,0.30683,0.39255,0.30738,0.14689,0.85562,0.20996,0.30126,0.10129,1.80518,1.29254,2.77601,1.75931,0,0.000999023,0.000999023,0.000999023
6,352.275,1.64619,1.33544,2.07835,1.5202,0,0.36395,0.59172,0.48531,0.24299,0.36254,0.63323,0.50843,0.18285,1.54306,1.18415,3.46023,1.47701,0,0.000998474,0.000998474,0.000998474
7,428.725,1.51898,1.34644,1.80799,1.4497,0,0.57474,0.5351,0.5048,0.28084,0.51369,0.55995,0.48627,0.17678,1.38442,1.16204,1.80513,1.37274,0,0.000997803,0.000997803,0.000997803
8,464.57,1.48228,1.23967,1.68187,1.47317,0,0.58834,0.48483,0.53124,0.2753,0.5049,0.48459,0.49584,0.16966,1.47301,1.20168,1.71189,1.40936,0,0.000997011,0.000997011,0.000997011
9,505.609,1.50474,1.23742,1.60363,1.42008,0,0.62474,0.55434,0.5542,0.31186,0.63496,0.55606,0.55924,0.21015,1.43884,1.09353,1.50567,1.39135,0,0.000996097,0.000996097,0.000996097
10,543.866,1.45847,1.22659,1.46719,1.36756,0,0.58943,0.51532,0.52983,0.30849,0.59196,0.51715,0.52897,0.18914,1.48181,1.08479,1.49759,1.43461,0,0.000995062,0.000995062,0.000995062
11,579.68,1.47264,1.29756,1.45318,1.40205,0,0.67715,0.58475,0.60769,0.36199,0.69011,0.65111,0.62873,0.23443,1.36229,1.07416,1.58041,1.31515,0,0.000993906,0.000993906,0.000993906
12,621.526,1.37585,1.18141,1.36647,1.32509,0,0.60875,0.62031,0.60096,0.36706,0.63156,0.62386,0.61197,0.23035,1.29537,1.05345,1.29192,1.31436,0,0.000992629,0.000992629,0.000992629
13,674.825,1.33909,1.13931,1.35264,1.32052,0,0.76423,0.62788,0.64309,0.39961,0.76452,0.65826,0.65833,0.28754,1.27549,1.06694,1.19867,1.23965,0,0.000991232,0.000991232,0.000991232
14,727.213,1.35118,1.21929,1.33298,1.34263,0,0.71277,0.62988,0.64577,0.41837,0.72113,0.64796,0.64712,0.26714,1.22646,1.03032,1.1475,1.29014,0,0.000989715,0.000989715,0.000989715
15,783.334,1.33575,1.19937,1.31078,1.33849,0,0.83671,0.65055,0.69017,0.44271,0.81058,0.63603,0.66498,0.28625,1.20232,1.04535,1.12506,1.24551,0,0.000988079,0.000988079,0.000988079
16,836.329,1.27005,1.16921,1.21965,1.27964,0,0.81849,0.63811,0.67909,0.4501,0.81194,0.64138,0.66642,0.28235,1.17727,0.99598,1.10602,1.21857,0,0.000986323,0.000986323,0.000986323
17,869.14,1.2802,1.12486,1.22962,1.31117,0,0.81898,0.6367,0.67234,0.4404,0.81185,0.63552,0.6582,0.27329,1.1969,1.00039,1.08083,1.20889,0,0.000984449,0.000984449,0.000984449
18,927.104,1.27545,1.14261,1.25177,1.27207,0,0.69363,0.64427,0.66059,0.43335,0.69042,0.65311,0.65859,0.28849,1.13635,1.03511,1.14953,1.212,0,0.000982456,0.000982456,0.000982456
19,983.25,1.24196,1.08531,1.19112,1.28505,0,0.76095,0.62463,0.65861,0.44398,0.76475,0.65527,0.66599,0.28002,1.12239,1.00914,1.09062,1.18599,0,0.000980345,0.000980345,0.000980345
20,1016.87,1.22476,1.11145,1.17693,1.26772,0,0.80483,0.63373,0.66541,0.44188,0.79577,0.63246,0.66438,0.29715,1.13382,1.09003,1.07088,1.19452,0,0.000978118,0.000978118,0.000978118
21,1060.32,1.17248,1.2262,1.1525,1.23955,0,0.76423,0.64456,0.65859,0.44299,0.72911,0.65056,0.64315,0.27185,1.12517,1.01071,1.13407,1.21146,0,0.000975773,0.000975773,0.000975773
22,1096.29,1.25032,1.19957,1.27432,1.31044,0,0.75164,0.68001,0.67088,0.46018,0.73686,0.6774,0.65819,0.29431,1.06463,1.05666,1.08449,1.18459,0,0.000973312,0.000973312,0.000973312
23,1143.74,1.12872,1.05686,1.0327,1.19542,0,0.83266,0.67185,0.70676,0.50752,0.82237,0.66992,0.69822,0.30191,0.98845,0.99607,1.00125,1.11258,0,0.000970736,0.000970736,0.000970736
24,1187.71,1.18303,1.12437,1.1313,1.27061,0,0.85077,0.66697,0.69963,0.485,0.83477,0.65349,0.68137,0.30959,1.04787,1.06088,0.97458,1.15044,0,0.000968045,0.000968045,0.000968045
25,1237.39,1.19827,1.078,1.13525,1.27094,0,0.84755,0.70151,0.71303,0.50034,0.85583,0.7124,0.7132,0.32203,1.01569,1.00906,0.93277,1.14674,0,0.000965239,0.000965239,0.000965239
26,1281.91,1.09901,1.11466,1.02116,1.18391,0,0.82229,0.69179,0.7181,0.49669,0.79696,0.68649,0.70061,0.31436,1.03397,0.99723,0.94502,1.14542,0,0.00096232,0.00096232,0.00096232
27,1320.26,1.18166,1.14959,1.07523,1.25528,0,0.86523,0.69268,0.72365,0.49562,0.86113,0.69356,0.70907,0.32031,1.07012,0.94898,0.87853,1.16983,0,0.000959289,0.000959289,0.000959289
28,1380.83,1.17329,1.10455,1.05563,1.24673,0,0.8552,0.69193,0.72701,0.50483,0.82464,0.69246,0.69725,0.31211,1.03141,1.01336,0.908,1.15646,0,0.000956145,0.000956145,0.000956145
29,1414.18,1.1535,1.06929,1.04723,1.22419,0,0.82491,0.64809,0.69895,0.45008,0.86792,0.69463,0.71845,0.31311,1.15698,0.9657,0.99838,1.16012,0,0.000952889,0.000952889,0.000952889
30,1466.63,1.11203,1.0915,1.02423,1.20684,0,0.87906,0.68444,0.73039,0.5088,0.8736,0.68061,0.71425,0.33414,1.0434,1.00043,0.9028,1.1385,0,0.000949524,0.000949524,0.000949524
31,1512.6,1.06944,1.05762,0.9926,1.17975,0,0.85609,0.70319,0.72643,0.52788,0.84898,0.69777,0.71261,0.30904,0.98252,0.9694,0.87749,1.13875,0,0.000946048,0.000946048,0.000946048
32,1551.82,1.09625,1.06256,0.99296,1.18664,0,0.83545,0.70058,0.73232,0.5286,0.82892,0.68473,0.70902,0.33396,1.00722,0.97261,0.87967,1.14327,0,0.000942464,0.000942464,0.000942464
33,1590.42,1.17247,1.15335,1.08364,1.25765,0,0.862,0.69746,0.7241,0.52295,0.8604,0.68175,0.71042,0.3165,0.98164,0.95517,0.88371,1.13906,0,0.000938772,0.000938772,0.000938772
34,1630.9,1.10074,1.05183,1.03435,1.21895,0,0.90251,0.68106,0.72163,0.49517,0.8799,0.69979,0.70902,0.32659,1.0339,0.97947,0.95446,1.15036,0,0.000934973,0.000934973,0.000934973
35,1681.74,1.18027,1.14909,1.0838,1.25038,0,0.87787,0.70213,0.72971,0.52172,0.85839,0.69581,0.71261,0.33133,0.99031,1.04758,0.87801,1.13536,0,0.000931067,0.000931067,0.000931067
36,1736.81,1.09453,1.05572,1.00352,1.20458,0,0.87814,0.69445,0.73209,0.51412,0.88764,0.709,0.72466,0.3266,1.01944,0.9619,0.89523,1.15808,0,0.000927057,0.000927057,0.000927057
37,1771.13,1.04097,0.997,0.97378,1.19404,0,0.8904,0.69524,0.73782,0.54407,0.88487,0.69644,0.72409,0.34817,0.97147,0.96096,0.84999,1.13967,0,0.000922942,0.000922942,0.000922942
38,1808.39,1.02724,1.07437,0.96095,1.16895,0,0.90248,0.70573,0.74554,0.5476,0.89851,0.70409,0.72851,0.33655,0.94929,0.94118,0.81794,1.13324,0,0.000918725,0.000918725,0.000918725
39,1858.27,1.03634,1.06034,0.95162,1.16301,0,0.90522,0.71412,0.75359,0.54715,0.9019,0.71208,0.73488,0.31491,0.9399,0.94088,0.79684,1.12234,0,0.000914405,0.000914405,0.000914405
